onset	duration	trial_type	value	sample
14.0	3.0	lateral_grasp	2	3584
21.4453125	3.0	lateral_grasp	2	5490
28.60546875	3.0	pronation	4	7323
35.3046875	3.0	palmar_grasp	3	9038
42.3046875	3.0	lateral_grasp	2	10830
48.3828125	3.0	supination	5	12386
55.94140625	3.0	pronation	4	14321
63.8359375	3.0	palmar_grasp	3	16342
70.76171875	3.0	hand_open	1	18115
78.296875	3.0	palmar_grasp	3	20044
85.9921875	3.0	pronation	4	22014
93.02734375	3.0	palmar_grasp	3	23815
99.34765625	3.0	lateral_grasp	2	25433
106.99609375	3.0	pronation	4	27391
114.20703125	3.0	hand_open	1	29237
121.65625	3.0	hand_open	1	31144
128.078125	3.0	hand_open	1	32788
136.0078125	3.0	hand_open	1	34818
143.77734375	3.0	palmar_grasp	3	36807
151.18359375	3.0	hand_open	1	38703
158.8671875	3.0	lateral_grasp	2	40670
165.97265625	3.0	palmar_grasp	3	42489
173.7421875	3.0	hand_open	1	44478
180.3046875	3.0	supination	5	46158
187.58984375	3.0	palmar_grasp	3	48023
193.90234375	3.0	hand_open	1	49639
200.8203125	3.0	pronation	4	51410
208.41796875	3.0	palmar_grasp	3	53355
215.49609375	3.0	supination	5	55167
223.4765625	3.0	pronation	4	57210
230.84375	3.0	lateral_grasp	2	59096
237.71484375	3.0	supination	5	60855
245.63671875	3.0	pronation	4	62883
252.66796875	3.0	lateral_grasp	2	64683
259.12890625	3.0	pronation	4	66337
266.234375	3.0	supination	5	68156
272.27734375	3.0	supination	5	69703
279.2890625	3.0	supination	5	71498
286.78125	3.0	lateral_grasp	2	73416
294.62890625	3.0	supination	5	75425
